,archivo,dataset,clase ligando,cadena
0,5F8U,validation,Antagonist,B
1,5YHL,validation,Antagonist,A
2,6TPK,validation,Antagonist,A
3,6DRX,validation,Antagonist,A
4,4RWD,validation,Antagonist,A
5,3ZPQ,validation,Antagonist,A
6,6DRZ,validation,Antagonist,A
7,5K2D,validation,Antagonist,A
8,6MET,validation,Antagonist,B
9,4Z36,validation,Antagonist,A
10,6J20,validation,Antagonist,A
11,6E59,validation,Antagonist,A
12,3UZA,validation,Antagonist,A
13,3VGA,validation,Antagonist,A
14,6PS0,validation,Antagonist,A
15,6WQA,validation,Antagonist,A
16,5N2R,validation,Antagonist,A
17,7M8W,validation,Antagonist,A
18,6PS1,validation,Antagonist,A
19,4Z35,validation,Antagonist,A
20,7VL9,validation,Agonist,R
21,4LDO,validation,Agonist,A
22,5WB2,validation,Agonist,A
23,6LFO,validation,Agonist,R
24,7T11,validation,Agonist,R
25,7RMI,validation,Agonist,R
26,7F4D,validation,Agonist,R
27,3AYM,validation,Agonist,A
28,7RKN,validation,Agonist,R
29,7F8V,validation,Agonist,R
30,7WC7,validation,Agonist,A
31,6FKC,validation,Agonist,A
32,7JVQ,validation,Agonist,R
33,7NA8,validation,Agonist,R
34,7VLA,validation,Agonist,R
35,7CMU,validation,Agonist,R
36,4IAR,validation,Agonist,A
37,6ME4,validation,Agonist,A
38,7VGY,validation,Agonist,A
39,4PHU,validation,Agonist,A
40,6NI3,validation,Agonist,R
41,6U1N,validation,Agonist,R
42,7DB6,validation,Agonist,D
43,7F1T,validation,Agonist,A
44,6LW5,validation,Agonist,A
45,6WWZ,validation,Agonist,R
46,6E67,validation,Agonist,B
47,7WF7,validation,Agonist,A
48,7C6A,validation,Agonist,A
49,7L1U,validation,Agonist,R
50,5WIV,train,Antagonist,A
51,5WS3,train,Antagonist,A
52,6ZDV,train,Antagonist,A
53,7PYR,train,Antagonist,A
54,6KUW,train,Antagonist,A
55,7DDZ,train,Antagonist,A
56,5OLH,train,Antagonist,A
57,6IQL,train,Antagonist,A
58,4Z34,train,Antagonist,A
59,6KUX,train,Antagonist,A
60,5UVI,train,Antagonist,A
61,3OE6,train,Antagonist,A
62,3OE8,train,Antagonist,A
63,6HLL,train,Antagonist,A
64,5ZTY,train,Antagonist,A
65,7C61,train,Antagonist,A
66,6DS0,train,Antagonist,A
67,3VG9,train,Antagonist,A
68,6KO5,train,Antagonist,A
69,5K2C,train,Antagonist,A
70,6TOS,train,Antagonist,A
71,5WIU,train,Antagonist,A
72,6VI4,train,Antagonist,A
73,6S0L,train,Antagonist,A
74,3UZC,train,Antagonist,A
